ResourceSpeciesID,ConsumerSpeciesID,Type,System
66,157,Feeding,BSQ
114,157,Feeding,BSQ
118,157,Feeding,BSQ
121,157,Feeding,BSQ
118,158,Feeding,BSQ
119,158,Feeding,BSQ
121,158,Feeding,BSQ
136,158,Feeding,BSQ
138,158,Feeding,BSQ
75,160,Feeding,BSQ
77,160,Feeding,BSQ
79,160,Feeding,BSQ
82,160,Feeding,BSQ
88,160,Feeding,BSQ
91,160,Feeding,BSQ
94,160,Feeding,BSQ
96,160,Feeding,BSQ
97,160,Feeding,BSQ
98,160,Feeding,BSQ
101,160,Feeding,BSQ
105,160,Feeding,BSQ
107,160,Feeding,BSQ
109,160,Feeding,BSQ
114,160,Feeding,BSQ
121,160,Feeding,BSQ
122,160,Feeding,BSQ
118,162,Feeding,BSQ
119,162,Feeding,BSQ
121,162,Feeding,BSQ
122,162,Feeding,BSQ
125,162,Feeding,BSQ
128,162,Feeding,BSQ
136,162,Feeding,BSQ
138,162,Feeding,BSQ
118,163,Feeding,BSQ
119,163,Feeding,BSQ
121,163,Feeding,BSQ
122,163,Feeding,BSQ
125,163,Feeding,BSQ
128,163,Feeding,BSQ
136,163,Feeding,BSQ
138,163,Feeding,BSQ
24,164,Feeding,BSQ
25,164,Feeding,BSQ
26,164,Feeding,BSQ
29,164,Feeding,BSQ
34,164,Feeding,BSQ
35,164,Feeding,BSQ
36,164,Feeding,BSQ
37,164,Feeding,BSQ
38,164,Feeding,BSQ
39,164,Feeding,BSQ
40,164,Feeding,BSQ
41,164,Feeding,BSQ
42,164,Feeding,BSQ
43,164,Feeding,BSQ
45,164,Feeding,BSQ
53,164,Feeding,BSQ
77,164,Feeding,BSQ
79,164,Feeding,BSQ
88,164,Feeding,BSQ
89,164,Feeding,BSQ
91,164,Feeding,BSQ
96,164,Feeding,BSQ
97,164,Feeding,BSQ
98,164,Feeding,BSQ
101,164,Feeding,BSQ
105,164,Feeding,BSQ
107,164,Feeding,BSQ
108,164,Feeding,BSQ
109,164,Feeding,BSQ
121,164,Feeding,BSQ
91,165,Feeding,BSQ
96,165,Feeding,BSQ
